image,shape,mesh-resolution,scaling,max-edge-factor,outer-edge-factor,offset-inner-factor,offset-outer-factor,prior-range-prob,prior-range-lower,prior-sigma-prob,prior-sigma-upper,ssim,mse,mean_residual,sigma
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,1.0,0.1,3.0,0.3889,4627855.08645824,-1.6669815614304597,401.2057640749462
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,1.0,0.2,1.0,0.3433,6268802.361202828,-4.292866529008429,571.6522396754575
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,1.0,0.2,2.0,0.3265,7289047.33749821,-6.844021534397033,735.5781787863654
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,1.0,0.2,3.0,0.3938,4537843.239801756,-1.474021636895304,388.1614970689846
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,2.0,0.1,1.0,0.4993,2386959.848673162,-0.40764987717936946,244.46817182105218
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,2.0,0.1,2.0,0.3448,6182697.861775524,-4.199897739622173,564.85199460708
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,2.0,0.1,3.0,0.4343,3532837.861226118,-0.8616104859066536,310.58855576154775
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,2.0,0.2,1.0,0.3453,6084444.584834332,-5.20230085037827,619.8610067767935
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,2.0,0.2,3.0,0.3638,5398710.568303216,-2.6018931112663775,473.1305797079522
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,5.0,0.1,1.0,0.4419,3718168.74405669,-0.7736302209126449,331.2549781978869
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,5.0,0.1,2.0,0.7808,541018.774524523,0.3929897638517575,157.8959283358476
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,5.0,0.1,3.0,0.7292,718444.1483116484,0.4368620723314705,157.58012443845513
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,5.0,0.2,1.0,0.461,2853567.3095623143,-1.1515269005543343,313.6136246074796
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.1,5.0,0.2,2.0,0.6488,1090618.0255666187,0.2152410305841297,173.07050838412675
